,amfi_code,1Yr_CAGR,3Yr_CAGR,5Yr_CAGR,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Tracking_Error,Max_Drawdown,DD_Peak_Date,DD_Trough_Date,Expense_Ratio,Final_Score
nav,118634,0.2236521211328215,0.0758063522976058,,0.44843400890899143,0.7460146308533571,0.1750072167561127,0.10349663691337586,0.2772863739829554,-0.2334488614483311,2025-04-09,2026-02-20,0.024398197043239887,33.25
nav,125498,0.16670899216585977,0.12492937768565682,,0.3006119210425476,0.5088128197169233,0.11989100971217971,0.009054412621739153,0.22359208242967216,-0.21117279560132118,2025-04-04,2025-09-12,0.023977710745066667,32.00000000000001
nav,101207,-0.24242050015436856,-0.026964750873929244,,0.16266076928646767,0.2766437962609234,0.10897091901704538,-0.06528924788351526,0.29211742519291634,-0.3544691649336603,2024-11-21,2026-05-11,0.00812037280884873,29.75
nav,119120,0.0572307956371807,0.05606028649588968,,-0.22657538662791604,-0.376767008170667,0.05620895216638369,-0.006413850728276465,0.1356464526704048,-0.04328728923970093,2024-09-16,2025-04-01,0.013638900372842315,29.625
nav,118636,0.10622598136417083,0.04152061472814461,,-0.3566295075143681,-0.6135251287271029,0.05074772999976104,0.0012566742731558616,0.13475826828890314,-0.08316361763638702,2023-02-09,2024-02-09,0.009246782213565523,29.375
nav,119599,0.1190796983675011,-0.006866124385353167,,-0.05718662582817994,-0.09438726129459607,0.048824215945539845,0.06200180438267164,0.2771351379626375,-0.5257422117012851,2023-01-17,2025-10-28,0.010842892970704364,21.125
nav,100025,0.025017601049311722,0.046143288414864925,,-0.5670947928476846,-0.9418212366054205,0.042817920315060876,0.0011582183155281448,0.134535144155856,-0.04308263824636349,2023-05-23,2023-07-28,0.024014286128198326,19.125
nav,100016,-0.033055090768621787,-0.00031627759670682654,,-0.20151706755966947,-0.35104746015230914,0.03747580763443281,-0.058268431438808936,0.19928360293890285,-0.24734440880673303,2022-03-30,2022-09-15,0.01249080237694725,18.499999999999996
nav,119095,-0.454228926346248,-0.11065546853000663,,-0.07597357117478919,-0.12818559275851926,0.048015953637759554,-0.06695117463929204,0.28578133369850933,-0.5167775370852656,2025-05-22,2026-05-11,0.015495128632644756,14.625000000000002
nav,102886,-0.13226101829615933,-0.01832224809009908,,-0.20583160785470325,-0.3472223025472727,0.028969397866379445,-0.042125029021894314,0.22560814215136635,-0.2800112356639287,2025-01-07,2026-04-27,0.022323522915498707,9.25
